Datetime,Upstream, 
11/09/2025 13:12:46.934,-0.1251089,
11/09/2025 13:12:46.935,-0.1251089,
11/09/2025 13:12:46.936,-0.1251089,
11/09/2025 13:12:46.937,-0.1276621,
11/09/2025 13:12:46.938,-0.1276621,
11/09/2025 13:12:46.939,-0.1276621,
11/09/2025 13:12:46.940,-0.1276621,
11/09/2025 13:12:46.941,-0.10978942,
11/09/2025 13:12:46.942,-0.10978942,
11/09/2025 13:12:46.943,-0.10978942,
11/09/2025 13:12:46.944,-0.10978942,
11/09/2025 13:12:46.945,-0.05361809,
11/09/2025 13:12:46.946,-0.05361809,
11/09/2025 13:12:46.947,-0.05361809,
11/09/2025 13:12:46.948,-0.05361809,
11/09/2025 13:12:46.949,0.04340513,
11/09/2025 13:12:46.950,0.04340513,
11/09/2025 13:12:46.951,0.04340513,
11/09/2025 13:12:46.952,0.04340513,
11/09/2025 13:12:46.953,0.1761738,
11/09/2025 13:12:46.954,0.1761738,
11/09/2025 13:12:46.955,0.1761738,
11/09/2025 13:12:46.956,0.1761738,
11/09/2025 13:12:46.957,0.3472411,
11/09/2025 13:12:46.958,0.3472411,
11/09/2025 13:12:46.959,0.3472411,
11/09/2025 13:12:46.960,0.3472411,
11/09/2025 13:12:46.961,0.533628,
11/09/2025 13:12:46.962,0.533628,
11/09/2025 13:12:46.963,0.533628,
11/09/2025 13:12:46.964,0.533628,
11/09/2025 13:12:46.965,0.7200148,
11/09/2025 13:12:46.966,0.7200148,
11/09/2025 13:12:46.967,0.7200148,
11/09/2025 13:12:46.968,0.7200148,
11/09/2025 13:12:46.969,0.9370407,
11/09/2025 13:12:46.970,0.9370407,
11/09/2025 13:12:46.971,0.9370407,
11/09/2025 13:12:46.972,0.9370407,
11/09/2025 13:12:46.973,1.192365,
11/09/2025 13:12:46.974,1.192365,
11/09/2025 13:12:46.975,1.192365,
11/09/2025 13:12:46.976,1.192365,
11/09/2025 13:12:46.977,1.485989,
11/09/2025 13:12:46.978,1.485989,
11/09/2025 13:12:46.979,1.485989,
11/09/2025 13:12:46.980,1.485989,
11/09/2025 13:12:46.981,1.817911,
11/09/2025 13:12:46.982,1.817911,
11/09/2025 13:12:46.983,1.817911,
11/09/2025 13:12:46.984,1.817911,
11/09/2025 13:12:46.985,2.188133,
11/09/2025 13:12:46.986,2.188133,
11/09/2025 13:12:46.987,2.188133,
11/09/2025 13:12:46.988,2.188133,
11/09/2025 13:12:46.989,2.563461,
11/09/2025 13:12:46.990,2.563461,
11/09/2025 13:12:46.991,2.563461,
11/09/2025 13:12:46.992,2.563461,
11/09/2025 13:12:46.993,2.936236,
11/09/2025 13:12:46.994,2.936236,
11/09/2025 13:12:46.995,2.936236,
11/09/2025 13:12:46.996,2.936236,
11/09/2025 13:12:46.997,3.303905,
11/09/2025 13:12:46.998,3.303905,
11/09/2025 13:12:46.999,3.303905,
11/09/2025 13:12:47.000,3.303905,
11/09/2025 13:12:47.001,3.66902,
11/09/2025 13:12:47.002,3.66902,
11/09/2025 13:12:47.003,3.66902,
11/09/2025 13:12:47.004,3.66902,
11/09/2025 13:12:47.005,4.064776,
11/09/2025 13:12:47.006,4.064776,
11/09/2025 13:12:47.007,4.064776,
11/09/2025 13:12:47.008,4.064776,
11/09/2025 13:12:47.009,4.496277,
11/09/2025 13:12:47.010,4.496277,
11/09/2025 13:12:47.011,4.496277,
11/09/2025 13:12:47.012,4.496277,
11/09/2025 13:12:47.013,4.963524,
11/09/2025 13:12:47.014,4.963524,
11/09/2025 13:12:47.015,4.963524,
11/09/2025 13:12:47.016,4.963524,
11/09/2025 13:12:47.017,5.466516,
11/09/2025 13:12:47.018,5.466516,
11/09/2025 13:12:47.019,5.466516,
11/09/2025 13:12:47.020,5.466516,
11/09/2025 13:12:47.021,6.007809,
11/09/2025 13:12:47.022,6.007809,
11/09/2025 13:12:47.023,6.007809,
11/09/2025 13:12:47.024,6.007809,
11/09/2025 13:12:47.025,6.551655,
11/09/2025 13:12:47.026,6.551655,
11/09/2025 13:12:47.027,6.551655,
11/09/2025 13:12:47.028,6.551655,
11/09/2025 13:12:47.029,7.098055,
11/09/2025 13:12:47.030,7.098055,
11/09/2025 13:12:47.031,7.098055,
11/09/2025 13:12:47.032,7.098055,
11/09/2025 13:12:47.033,7.677648,
11/09/2025 13:12:47.034,7.677648,
11/09/2025 13:12:47.035,7.677648,
11/09/2025 13:12:47.036,7.677648,
11/09/2025 13:12:47.037,8.292987,
11/09/2025 13:12:47.038,8.292987,
11/09/2025 13:12:47.039,8.292987,
11/09/2025 13:12:47.040,8.292987,
11/09/2025 13:12:47.041,8.944073,
11/09/2025 13:12:47.042,8.944073,
11/09/2025 13:12:47.043,8.944073,
11/09/2025 13:12:47.044,8.944073,
11/09/2025 13:12:47.045,9.633458,
11/09/2025 13:12:47.046,9.633458,
11/09/2025 13:12:47.047,9.633458,
11/09/2025 13:12:47.048,9.633458,
11/09/2025 13:12:47.049,10.353484,
11/09/2025 13:12:47.050,10.353484,
11/09/2025 13:12:47.051,10.353484,
11/09/2025 13:12:47.052,10.353484,
11/09/2025 13:12:47.053,11.068404,
11/09/2025 13:12:47.054,11.068404,
11/09/2025 13:12:47.055,11.068404,
11/09/2025 13:12:47.056,11.068404,
11/09/2025 13:12:47.057,11.806305,
11/09/2025 13:12:47.058,11.806305,
11/09/2025 13:12:47.059,11.806305,
11/09/2025 13:12:47.060,11.806305,
11/09/2025 13:12:47.061,12.618253,
11/09/2025 13:12:47.062,12.618253,
11/09/2025 13:12:47.063,12.618253,
11/09/2025 13:12:47.064,12.618253,
11/09/2025 13:12:47.065,13.501693,
11/09/2025 13:12:47.066,13.501693,
11/09/2025 13:12:47.067,13.501693,
11/09/2025 13:12:47.068,13.501693,
11/09/2025 13:12:47.069,14.461734,
11/09/2025 13:12:47.070,14.461734,
11/09/2025 13:12:47.071,14.461734,
11/09/2025 13:12:47.072,14.461734,
11/09/2025 13:12:47.073,15.490715,
11/09/2025 13:12:47.074,15.490715,
11/09/2025 13:12:47.075,15.490715,
11/09/2025 13:12:47.076,15.490715,
11/09/2025 13:12:47.077,16.56566,
11/09/2025 13:12:47.078,16.56566,
11/09/2025 13:12:47.079,16.56566,
11/09/2025 13:12:47.080,16.56566,
11/09/2025 13:12:47.081,17.63039,
11/09/2025 13:12:47.082,17.63039,
11/09/2025 13:12:47.083,17.63039,
11/09/2025 13:12:47.084,17.63039,
11/09/2025 13:12:47.085,18.71044,
11/09/2025 13:12:47.086,18.71044,
11/09/2025 13:12:47.087,18.71044,
11/09/2025 13:12:47.088,18.71044,
11/09/2025 13:12:47.089,19.82369,
11/09/2025 13:12:47.090,19.82369,
11/09/2025 13:12:47.091,19.82369,
11/09/2025 13:12:47.092,19.82369,
11/09/2025 13:12:47.093,20.96503,
11/09/2025 13:12:47.094,20.96503,
11/09/2025 13:12:47.095,20.96503,
11/09/2025 13:12:47.096,20.96503,
11/09/2025 13:12:47.097,22.13956,
11/09/2025 13:12:47.098,22.13956,
11/09/2025 13:12:47.099,22.13956,
11/09/2025 13:12:47.100,22.13956,
11/09/2025 13:12:47.101,23.34474,
11/09/2025 13:12:47.102,23.34474,
11/09/2025 13:12:47.103,23.34474,
11/09/2025 13:12:47.104,23.34474,
11/09/2025 13:12:47.105,24.55246,
11/09/2025 13:12:47.106,24.55246,
11/09/2025 13:12:47.107,24.55246,
11/09/2025 13:12:47.108,24.55246,
11/09/2025 13:12:47.109,25.75254,
11/09/2025 13:12:47.110,25.75254,
11/09/2025 13:12:47.111,25.75254,
11/09/2025 13:12:47.112,25.75254,
11/09/2025 13:12:47.113,26.9424,
11/09/2025 13:12:47.114,26.9424,
11/09/2025 13:12:47.115,26.9424,
11/09/2025 13:12:47.116,26.9424,
11/09/2025 13:12:47.117,28.1246,
11/09/2025 13:12:47.118,28.1246,
11/09/2025 13:12:47.119,28.1246,
11/09/2025 13:12:47.120,28.1246,
11/09/2025 13:12:47.121,29.32468,
11/09/2025 13:12:47.122,29.32468,
11/09/2025 13:12:47.123,29.32468,
11/09/2025 13:12:47.124,29.32468,
11/09/2025 13:12:47.125,30.5554,
11/09/2025 13:12:47.126,30.5554,
11/09/2025 13:12:47.127,30.5554,
11/09/2025 13:12:47.128,30.5554,
11/09/2025 13:12:47.129,31.81677,
11/09/2025 13:12:47.130,31.81677,
11/09/2025 13:12:47.131,31.81677,
11/09/2025 13:12:47.132,31.81677,
11/09/2025 13:12:47.133,33.10878,
11/09/2025 13:12:47.134,33.10878,
11/09/2025 13:12:47.135,33.10878,
11/09/2025 13:12:47.136,33.10878,
11/09/2025 13:12:47.137,34.42888,
11/09/2025 13:12:47.138,34.42888,
11/09/2025 13:12:47.139,34.42888,
11/09/2025 13:12:47.140,34.42888,
11/09/2025 13:12:47.141,35.75664,
11/09/2025 13:12:47.142,35.75664,
11/09/2025 13:12:47.143,35.75664,
11/09/2025 13:12:47.144,35.75664,
11/09/2025 13:12:47.145,37.07163,
11/09/2025 13:12:47.146,37.07163,
11/09/2025 13:12:47.147,37.07163,
11/09/2025 13:12:47.148,37.07163,
11/09/2025 13:12:47.149,38.41216,
11/09/2025 13:12:47.150,38.41216,
11/09/2025 13:12:47.151,38.41216,
11/09/2025 13:12:47.152,38.41216,
11/09/2025 13:12:47.153,39.78079,
11/09/2025 13:12:47.154,39.78079,
11/09/2025 13:12:47.155,39.78079,
11/09/2025 13:12:47.156,39.78079,
11/09/2025 13:12:47.157,41.1775,
11/09/2025 13:12:47.158,41.1775,
11/09/2025 13:12:47.159,41.1775,
11/09/2025 13:12:47.160,41.1775,
11/09/2025 13:12:47.161,42.60486,
11/09/2025 13:12:47.162,42.60486,
11/09/2025 13:12:47.163,42.60486,
11/09/2025 13:12:47.164,42.60486,
11/09/2025 13:12:47.165,44.05776,
11/09/2025 13:12:47.166,44.05776,
11/09/2025 13:12:47.167,44.05776,
11/09/2025 13:12:47.168,44.05776,
11/09/2025 13:12:47.169,45.503,
11/09/2025 13:12:47.170,45.503,
11/09/2025 13:12:47.171,45.503,
11/09/2025 13:12:47.172,45.503,
11/09/2025 13:12:47.173,46.94569,
11/09/2025 13:12:47.174,46.94569,
11/09/2025 13:12:47.175,46.94569,
