Datetime,Upstream,Downstream,Body,Actuator,Hyperbaric,Backseat,Spring Chamber,Primary Stem Seal,Secondary Stem Seal,Relief Port,BX Port,Spare,Flow Meter,Mass Spectrometer,LVDT,Torque,Number Of Turns,Motor Speed,Ambient Temperature,Body Temperature,Monitor Temperature,Chamber Temperature,Hyperbaric Water Temperature,Close,Open,Cycle Count, 
26/8/2025 12:8:13.520,0.01949184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.9871,0.0,0.0,0.3799862,0.0,0.0,27.7,24.6,24.4,24.8,37.7,TRUE,FALSE,1
26/8/2025 12:8:14.520,0.05457716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.9867,0.0,0.0,0.3712062,0.0,0.0,27.7,24.6,24.4,24.8,37.7,TRUE,FALSE,1
26/8/2025 12:8:15.520,0.08186573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.9867,0.0,0.0,0.3552985,0.0,0.0,27.7,24.6,24.4,24.8,37.7,TRUE,FALSE,1
26/8/2025 12:8:16.520,0.07536845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.9854,0.0,0.0,0.3395795,0.0,0.0,27.8,24.6,24.4,24.8,37.8,TRUE,FALSE,1
26/8/2025 12:8:17.520,0.04158259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.9866,0.0,0.0,0.349823,0.0,0.0,27.8,24.5,24.4,24.8,37.8,TRUE,FALSE,1
26/8/2025 12:8:18.520,0.04158259,-2.018957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.9858,0.0,0.0,0.2957272,0.0,0.0,27.8,24.5,24.4,24.8,37.8,TRUE,FALSE,1
26/8/2025 12:8:19.520,0.05067878,-2.037146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.9857,0.0,0.0,0.3894269,0.0,0.0,27.8,24.5,24.4,24.8,37.8,TRUE,FALSE,1
26/8/2025 12:8:20.520,0.10135756,-1.935808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.9859,0.0,0.0,0.341279,0.0,0.0,27.8,24.5,24.4,24.8,37.8,TRUE,FALSE,1
26/8/2025 12:8:21.520,0.0532777,-2.01376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.9858,0.0,0.0,0.3837153,0.0,0.0,27.8,24.5,24.4,24.8,37.8,TRUE,FALSE,1
26/8/2025 12:8:22.520,0.06627226,-2.057933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.9866,0.0,0.0,0.3417511,0.0,0.0,27.8,24.6,24.4,24.8,37.8,TRUE,FALSE,1
